Name,Test Accuracy,Precision,Recall,F1 Score,auc Score
Bidirectional LSTM,0.9438796258641724,0.9353358364622445,0.9438796258641724,0.9438216421320302,0.9440642720082021
LSTM,0.9387962586417242,0.928156146179402,0.9387962586417242,0.9387415288526456,0.9390605991090631
C_LSTM,0.9381862545750305,0.9262939958592132,0.9381862545750305,0.9381361224446898,0.9385053163869274
Bidirectional GRU,0.9373729158194388,0.9348286077020737,0.9373729158194388,0.9372773175496669,0.9372773175496669
